"id","title","variant_size_cm","variant_price_egp","image","source_row"
"25861093530148828","25861093530148828,","100 x 70","6134","","1"
"25861093530148828","25861093530148828,","120 x 80","7997","","1"
"25861093530148828","25861093530148828,","140 x 90","9387","","1"
"25041567915515220","25041567915515220,","100 x 70","6134","","2"
"25041567915515220","25041567915515220,","120 x 80","7997","","2"
"25041567915515220","25041567915515220,","140 x 90","9387","","2"
"25160842236940730","25160842236940730,","100 x 70","6134","","3"
"25160842236940730","25160842236940730,","120 x 80","7997","","3"
"25160842236940730","25160842236940730,","140 x 90","9387","","3"
"25134175189566615","25134175189566615,","70 x 50","1987","","4"
"25134175189566615","25134175189566615,","80 x 60","2627","","4"
"25134175189566615","25134175189566615,","100 x 70","3672","","4"
"24616016294744481","24616016294744481,","70 x 50","4807","","5"
"24616016294744481","24616016294744481,","80 x 60","6307","","5"
"24616016294744481","24616016294744481,","100 x 70","8812","","5"
"25073575522342081","25073575522342081,","100 x 70","6134","","6"
"25073575522342081","25073575522342081,","120 x 80","7997","","6"
"25073575522342081","25073575522342081,","140 x 90","9387","","6"
"25211357081863700","25211357081863700,","100 x 70","6134","","7"
"25211357081863700","25211357081863700,","120 x 80","7997","","7"
"25211357081863700","25211357081863700,","140 x 90","9387","","7"
"25791785867072929","25791785867072929,","70 x 50","1987","","8"
"25791785867072929","25791785867072929,","80 x 60","2627","","8"
"25791785867072929","25791785867072929,","100 x 70","3672","","8"
"25440401918899981","25440401918899981,","100 x 70","3162","","9"
"25440401918899981","25440401918899981,","120 x 80","3727","","9"
"25440401918899981","25440401918899981,","140 x 90","4609","","9"
"25665547416372847","25665547416372847,","100 x 70","6134","","10"
"25665547416372847","25665547416372847,","120 x 80","7997","","10"
"25665547416372847","25665547416372847,","140 x 90","9387","","10"
"26022712787315524","26022712787315524,","70 x 50","1987","","11"
"26022712787315524","26022712787315524,","80 x 60","2627","","11"
"26022712787315524","26022712787315524,","100 x 70","3672","","11"
"25829114676693449","25829114676693449,","100 x 70","6134","","12"
"25829114676693449","25829114676693449,","120 x 80","7997","","12"
"25829114676693449","25829114676693449,","140 x 90","9387","","12"
"25494442063547597","25494442063547597,","Default","8875","","13"
"25491917763757649","25491917763757649,","70 x 50","7209","","14"
"25491917763757649","25491917763757649,","80 x 60","9462","","14"
"25491917763757649","25491917763757649,","100 x 70","13217","","14"
"32502902295990919","32502902295990919,","70 x 50","3002","","15"
"32502902295990919","32502902295990919,","80 x 60","3942","","15"
"32502902295990919","32502902295990919,","100 x 70","5507","","15"
"25738162819101407","25738162819101407,","100 x 70","3162","","16"
"25738162819101407","25738162819101407,","120 x 80","3727","","16"
"25738162819101407","25738162819101407,","140 x 90","4609","","16"
"26228943713360256","26228943713360256,","100 x 70","6134","","17"
"26228943713360256","26228943713360256,","120 x 80","7997","","17"
"26228943713360256","26228943713360256,","140 x 90","9387","","17"
"25739629238975872","25739629238975872,","100 x 70","6134","","18"
"25739629238975872","25739629238975872,","120 x 80","7997","","18"
"25739629238975872","25739629238975872,","140 x 90","9387","","18"
"26160152890243788","26160152890243788,","100 x 70","4407","","19"
"26160152890243788","26160152890243788,","120 x 80","5857","","19"
"26160152890243788","26160152890243788,","140 x 90","7509","","19"
"25432373399708276","25432373399708276,","100 x 70","6134","","20"
"25432373399708276","25432373399708276,","120 x 80","7997","","20"
"25432373399708276","25432373399708276,","140 x 90","9387","","20"
"25291592700527747","25291592700527747,","100 x 70","4407","","21"
"25291592700527747","25291592700527747,","120 x 80","5857","","21"
"25291592700527747","25291592700527747,","140 x 90","7509","","21"
"24650902287920861","24650902287920861,","100 x 70","4407","","22"
"24650902287920861","24650902287920861,","120 x 80","5857","","22"
"24650902287920861","24650902287920861,","140 x 90","7509","","22"
"32594918796790086","32594918796790086,","100 x 70","6134","","23"
"32594918796790086","32594918796790086,","120 x 80","7997","","23"
"32594918796790086","32594918796790086,","140 x 90","9387","","23"
"24835360626146516","24835360626146516,","100 x 70","3162","","24"
"24835360626146516","24835360626146516,","120 x 80","3727","","24"
"24835360626146516","24835360626146516,","140 x 90","4609","","24"
"24352440537768777","24352440537768777,","100 x 70","3162","","25"
"24352440537768777","24352440537768777,","120 x 80","3727","","25"
"24352440537768777","24352440537768777,","140 x 90","4609","","25"
"25660940930165872","25660940930165872,","100 x 70","6134","","26"
"25660940930165872","25660940930165872,","120 x 80","7997","","26"
"25660940930165872","25660940930165872,","140 x 90","9387","","26"
"25179251831760783","25179251831760783,","70 x 50","4807","","27"
"25179251831760783","25179251831760783,","80 x 60","6307","","27"
"25179251831760783","25179251831760783,","100 x 70","8812","","27"
"24752279564428386","24752279564428386,","100 x 70","6134","","28"
"24752279564428386","24752279564428386,","120 x 80","7997","","28"
"24752279564428386","24752279564428386,","140 x 90","9387","","28"
"24899966053019232","24899966053019232,","100 x 70","3162","","29"
"24899966053019232","24899966053019232,","120 x 80","3727","","29"
"24899966053019232","24899966053019232,","140 x 90","4609","","29"
"25173136282380142","25173136282380142,","70 x 50","3002","","30"
"25173136282380142","25173136282380142,","80 x 60","3942","","30"
"25173136282380142","25173136282380142,","100 x 70","5507","","30"
"24594843116863870","24594843116863870,","100 x 70","3162","","31"
"24594843116863870","24594843116863870,","120 x 80","3727","","31"
"24594843116863870","24594843116863870,","140 x 90","4609","","31"
"25573689432263207","25573689432263207,","100 x 70","6134","","32"
"25573689432263207","25573689432263207,","120 x 80","7997","","32"
"25573689432263207","25573689432263207,","140 x 90","9387","","32"
"26496615249928991","26496615249928991,","100 x 70","6134","","33"
"26496615249928991","26496615249928991,","120 x 80","7997","","33"
"26496615249928991","26496615249928991,","140 x 90","9387","","33"
"25305087645777192","25305087645777192,","100 x 70","6134","","34"
"25305087645777192","25305087645777192,","120 x 80","7997","","34"
"25305087645777192","25305087645777192,","140 x 90","9387","","34"
"25040199045621755","25040199045621755,","70 x 50","1987","","35"
"25040199045621755","25040199045621755,","80 x 60","2627","","35"
"25040199045621755","25040199045621755,","100 x 70","3672","","35"
"26568833046050380","26568833046050380,","70 x 50","1987","","36"
"26568833046050380","26568833046050380,","80 x 60","2627","","36"
"26568833046050380","26568833046050380,","100 x 70","3672","","36"
"25377967738560728","25377967738560728,","100 x 70","6134","","37"
"25377967738560728","25377967738560728,","120 x 80","7997","","37"
"25377967738560728","25377967738560728,","140 x 90","9387","","37"
"32577813118499407","32577813118499407,","100 x 70","3162","","38"
"32577813118499407","32577813118499407,","120 x 80","3727","","38"
"32577813118499407","32577813118499407,","140 x 90","4609","","38"
"25176864431952173","25176864431952173,","Default","8875","","39"
"25244983121791805","25244983121791805,","70 x 50","7209","","40"
"25244983121791805","25244983121791805,","80 x 60","9462","","40"
"25244983121791805","25244983121791805,","100 x 70","13217","","40"
"25247471348238789","25247471348238789,","70 x 50","7209","","41"
"25247471348238789","25247471348238789,","80 x 60","9462","","41"
"25247471348238789","25247471348238789,","100 x 70","13217","","41"
"32606441242304630","32606441242304630,","100 x 70","6134","","42"
"32606441242304630","32606441242304630,","120 x 80","7997","","42"
"32606441242304630","32606441242304630,","140 x 90","9387","","42"
"25039468028992544","25039468028992544,","70 x 50","7209","","43"
"25039468028992544","25039468028992544,","80 x 60","9462","","43"
"25039468028992544","25039468028992544,","100 x 70","13217","","43"
"24784682831203251","24784682831203251,","100 x 70","3162","","44"
"24784682831203251","24784682831203251,","120 x 80","3727","","44"
"24784682831203251","24784682831203251,","140 x 90","4609","","44"
"33629446979987585","33629446979987585,","100 x 70","6134","","45"
"33629446979987585","33629446979987585,","120 x 80","7997","","45"
"33629446979987585","33629446979987585,","140 x 90","9387","","45"
"25335785866032870","25335785866032870,","100 x 70","4407","","46"
"25335785866032870","25335785866032870,","120 x 80","5857","","46"
"25335785866032870","25335785866032870,","140 x 90","7509","","46"
"25428380396756598","25428380396756598,","70 x 50","7209","","47"
"25428380396756598","25428380396756598,","80 x 60","9462","","47"
"25428380396756598","25428380396756598,","100 x 70","13217","","47"
"32663050673340023","32663050673340023,","100 x 70","4407","","48"
"32663050673340023","32663050673340023,","120 x 80","5857","","48"
"32663050673340023","32663050673340023,","140 x 90","7509","","48"
"25526435226950748","25526435226950748,","100 x 70","4407","","49"
"25526435226950748","25526435226950748,","120 x 80","5857","","49"
"25526435226950748","25526435226950748,","140 x 90","7509","","49"
"25771712259092575","25771712259092575,","70 x 50","3002","","50"
"25771712259092575","25771712259092575,","80 x 60","3942","","50"
"25771712259092575","25771712259092575,","100 x 70","5507","","50"
"25099787176387871","25099787176387871,","100 x 70","6134","","51"
"25099787176387871","25099787176387871,","120 x 80","7997","","51"
"25099787176387871","25099787176387871,","140 x 90","9387","","51"
"25010217118667752","25010217118667752,","100 x 70","3162","","52"
"25010217118667752","25010217118667752,","120 x 80","3727","","52"
"25010217118667752","25010217118667752,","140 x 90","4609","","52"
"25296344689985173","25296344689985173,","70 x 50","6894","","53"
"25296344689985173","25296344689985173,","80 x 60","8917","","53"
"25296344689985173","25296344689985173,","100 x 70","12267","","53"
"25265456713093017","25265456713093017,","100 x 70","4407","","54"
"25265456713093017","25265456713093017,","120 x 80","5857","","54"
"25265456713093017","25265456713093017,","140 x 90","7509","","54"
"26091699527099249","26091699527099249,","70 x 50","6894","","55"
"26091699527099249","26091699527099249,","80 x 60","8917","","55"
"26091699527099249","26091699527099249,","100 x 70","12267","","55"
"25268611932807033","25268611932807033,","70 x 50","7209","","56"
"25268611932807033","25268611932807033,","80 x 60","9462","","56"
"25268611932807033","25268611932807033,","100 x 70","13217","","56"
"25533373566258935","25533373566258935,","70 x 50","3002","","57"
"25533373566258935","25533373566258935,","80 x 60","3942","","57"
"25533373566258935","25533373566258935,","100 x 70","5507","","57"
"33019684504312050","33019684504312050,","70 x 50","3002","","58"
"33019684504312050","33019684504312050,","80 x 60","3942","","58"
"33019684504312050","33019684504312050,","100 x 70","5507","","58"
"25605978328998102","25605978328998102,","100 x 70","4407","","59"
"25605978328998102","25605978328998102,","120 x 80","5857","","59"
"25605978328998102","25605978328998102,","140 x 90","7509","","59"
"26361774283423154","26361774283423154,","Default","8875","","60"
"25343846525224804","25343846525224804,","70 x 50","6894","","61"
"25343846525224804","25343846525224804,","80 x 60","8917","","61"
"25343846525224804","25343846525224804,","100 x 70","12267","","61"
"25102136409466655","25102136409466655,","100 x 70","6134","","62"
"25102136409466655","25102136409466655,","120 x 80","7997","","62"
"25102136409466655","25102136409466655,","140 x 90","9387","","62"
"25409189065384294","25409189065384294,","100 x 70","3162","","63"
"25409189065384294","25409189065384294,","120 x 80","3727","","63"
"25409189065384294","25409189065384294,","140 x 90","4609","","63"
"24808291612183330","24808291612183330,","70 x 50","3002","","64"
"24808291612183330","24808291612183330,","80 x 60","3942","","64"
"24808291612183330","24808291612183330,","100 x 70","5507","","64"
"26253848780868534","26253848780868534,","100 x 70","6134","","65"
"26253848780868534","26253848780868534,","120 x 80","7997","","65"
"26253848780868534","26253848780868534,","140 x 90","9387","","65"
"25054329697556322","25054329697556322,","100 x 70","3162","","66"
"25054329697556322","25054329697556322,","120 x 80","3727","","66"
"25054329697556322","25054329697556322,","140 x 90","4609","","66"
"25438614439111039","25438614439111039,","70 x 50","3002","","67"
"25438614439111039","25438614439111039,","80 x 60","3942","","67"
"25438614439111039","25438614439111039,","100 x 70","5507","","67"
"25104473405869983","25104473405869983,","100 x 70","6134","","68"
"25104473405869983","25104473405869983,","120 x 80","7997","","68"
"25104473405869983","25104473405869983,","140 x 90","9387","","68"
"10038078782962343","10038078782962343,","100 x 70","3162","","69"
"10038078782962343","10038078782962343,","120 x 80","3727","","69"
"10038078782962343","10038078782962343,","140 x 90","4609","","69"
"25397178189878136","25397178189878136,","70 x 50","4807","","70"
"25397178189878136","25397178189878136,","80 x 60","6307","","70"
"25397178189878136","25397178189878136,","100 x 70","8812","","70"
"25474124515545353","25474124515545353,","70 x 50","4807","","71"
"25474124515545353","25474124515545353,","80 x 60","6307","","71"
"25474124515545353","25474124515545353,","100 x 70","8812","","71"
"24340084482333698","24340084482333698,","70 x 50","1987","","72"
"24340084482333698","24340084482333698,","80 x 60","2627","","72"
"24340084482333698","24340084482333698,","100 x 70","3672","","72"
"26358716330395771","26358716330395771,","100 x 70","6134","","73"
"26358716330395771","26358716330395771,","120 x 80","7997","","73"
"26358716330395771","26358716330395771,","140 x 90","9387","","73"
"27343885228565493","27343885228565493,","100 x 70","6134","","74"
"27343885228565493","27343885228565493,","120 x 80","7997","","74"
"27343885228565493","27343885228565493,","140 x 90","9387","","74"
"24594274546941551","24594274546941551,","100 x 70","3162","","75"
"24594274546941551","24594274546941551,","120 x 80","3727","","75"
"24594274546941551","24594274546941551,","140 x 90","4609","","75"
"25456378710623448","25456378710623448,","100 x 70","6134","","76"
"25456378710623448","25456378710623448,","120 x 80","7997","","76"
"25456378710623448","25456378710623448,","140 x 90","9387","","76"
"26117667247835489","26117667247835489,","70 x 50","3002","","77"
"26117667247835489","26117667247835489,","80 x 60","3942","","77"
"26117667247835489","26117667247835489,","100 x 70","5507","","77"
"25064398863215184","25064398863215184,","70 x 50","7209","","78"
"25064398863215184","25064398863215184,","80 x 60","9462","","78"
"25064398863215184","25064398863215184,","100 x 70","13217","","78"
"25920939390823139","25920939390823139,","Default","8875","","79"
"25383724391257861","25383724391257861,","70 x 50","1987","","80"
"25383724391257861","25383724391257861,","80 x 60","2627","","80"
"25383724391257861","25383724391257861,","100 x 70","3672","","80"
"24980748044898820","24980748044898820,","100 x 70","3162","","81"
"24980748044898820","24980748044898820,","120 x 80","3727","","81"
"24980748044898820","24980748044898820,","140 x 90","4609","","81"
"25184823254479080","25184823254479080,","100 x 70","4407","","82"
"25184823254479080","25184823254479080,","120 x 80","5857","","82"
"25184823254479080","25184823254479080,","140 x 90","7509","","82"
"24923249547373872","24923249547373872,","70 x 50","3002","","83"
"24923249547373872","24923249547373872,","80 x 60","3942","","83"
"24923249547373872","24923249547373872,","100 x 70","5507","","83"
"24874887525545754","24874887525545754,","70 x 50","3002","","84"
"24874887525545754","24874887525545754,","80 x 60","3942","","84"
"24874887525545754","24874887525545754,","100 x 70","5507","","84"
"25817964471175111","25817964471175111,","100 x 70","4407","","85"
"25817964471175111","25817964471175111,","120 x 80","5857","","85"
"25817964471175111","25817964471175111,","140 x 90","7509","","85"
"25349807578010152","25349807578010152,","100 x 70","6134","","86"
"25349807578010152","25349807578010152,","120 x 80","7997","","86"
"25349807578010152","25349807578010152,","140 x 90","9387","","86"
"24882178654818212","24882178654818212,","100 x 70","6134","","87"
"24882178654818212","24882178654818212,","120 x 80","7997","","87"
"24882178654818212","24882178654818212,","140 x 90","9387","","87"
"25169583259359707","25169583259359707,","70 x 50","1987","","88"
"25169583259359707","25169583259359707,","80 x 60","2627","","88"
"25169583259359707","25169583259359707,","100 x 70","3672","","88"
"25484306091257980","25484306091257980,","100 x 70","6134","","89"
"25484306091257980","25484306091257980,","120 x 80","7997","","89"
"25484306091257980","25484306091257980,","140 x 90","9387","","89"
"32650169271295707","32650169271295707,","100 x 70","6134","","90"
"32650169271295707","32650169271295707,","120 x 80","7997","","90"
"32650169271295707","32650169271295707,","140 x 90","9387","","90"
"25215260861450233","25215260861450233,","100 x 70","6134","","91"
"25215260861450233","25215260861450233,","120 x 80","7997","","91"
"25215260861450233","25215260861450233,","140 x 90","9387","","91"
"33124742423805865","33124742423805865,","100 x 70","4407","","92"
"33124742423805865","33124742423805865,","120 x 80","5857","","92"
"33124742423805865","33124742423805865,","140 x 90","7509","","92"
"32626567930289992","32626567930289992,","70 x 50","4002","","93"
"32626567930289992","32626567930289992,","80 x 60","5257","","93"
"25108554738839330","25108554738839330,","70 x 50","3002","","94"
"25108554738839330","25108554738839330,","80 x 60","3942","","94"
"25108554738839330","25108554738839330,","100 x 70","5507","","94"
"33273086922289875","33273086922289875,","70 x 50","1987","","95"
"33273086922289875","33273086922289875,","80 x 60","2627","","95"
"33273086922289875","33273086922289875,","100 x 70","3672","","95"
"9508932759230961","9508932759230961,","100 x 70","4407","","96"
"9508932759230961","9508932759230961,","120 x 80","5857","","96"
"9508932759230961","9508932759230961,","140 x 90","7509","","96"
"31724994113782439","31724994113782439,","100 x 70","3162","","97"
"31724994113782439","31724994113782439,","120 x 80","3727","","97"
"31724994113782439","31724994113782439,","140 x 90","4609","","97"
"32656426817305403","32656426817305403,","70 x 50","3002","","98"
"32656426817305403","32656426817305403,","80 x 60","3942","","98"
"32656426817305403","32656426817305403,","100 x 70","5507","","98"
"25290513893967807","25290513893967807,","100 x 70","6134","","99"
"25290513893967807","25290513893967807,","120 x 80","7997","","99"
"25290513893967807","25290513893967807,","140 x 90","9387","","99"
"25809764135324087","25809764135324087,","70 x 50","3002","","100"
"25809764135324087","25809764135324087,","80 x 60","3942","","100"
"25809764135324087","25809764135324087,","100 x 70","5507","","100"
"25246827314949025","25246827314949025,","100 x 70","6134","","101"
"25246827314949025","25246827314949025,","120 x 80","7997","","101"
"25246827314949025","25246827314949025,","140 x 90","9387","","101"
"25515684014724331","25515684014724331,","70 x 50","1987","","102"
"25515684014724331","25515684014724331,","80 x 60","2627","","102"
"25515684014724331","25515684014724331,","100 x 70","3672","","102"
"24977671171932593","24977671171932593,","100 x 70","6134","","103"
"24977671171932593","24977671171932593,","120 x 80","7997","","103"
"24977671171932593","24977671171932593,","140 x 90","9387","","103"
"32004507129193221","32004507129193221,","100 x 70","3162","","104"
"32004507129193221","32004507129193221,","120 x 80","3727","","104"
"32004507129193221","32004507129193221,","140 x 90","4609","","104"
"26100869626166579","26100869626166579,","70 x 50","3002","","105"
"26100869626166579","26100869626166579,","80 x 60","3942","","105"
"26100869626166579","26100869626166579,","100 x 70","5507","","105"
"25128649646803825","25128649646803825,","100 x 70","6134","","106"
"25128649646803825","25128649646803825,","120 x 80","7997","","106"
"25128649646803825","25128649646803825,","140 x 90","9387","","106"
"25035490516136496","25035490516136496,","70 x 50","7209","","107"
"25035490516136496","25035490516136496,","80 x 60","9462","","107"
"25035490516136496","25035490516136496,","100 x 70","13217","","107"
"24612483485098269","24612483485098269,","70 x 50","7209","","108"
"24612483485098269","24612483485098269,","80 x 60","9462","","108"
"24612483485098269","24612483485098269,","100 x 70","13217","","108"
"33592594587022873","33592594587022873,","70 x 50","3002","","109"
"33592594587022873","33592594587022873,","80 x 60","3942","","109"
"33592594587022873","33592594587022873,","100 x 70","5507","","109"
"33250623274529027","33250623274529027,","70 x 50","6894","","110"
"33250623274529027","33250623274529027,","80 x 60","8917","","110"
"33250623274529027","33250623274529027,","100 x 70","12267","","110"
"33283979794581936","33283979794581936,","100 x 70","6134","","111"
"33283979794581936","33283979794581936,","120 x 80","7997","","111"
"33283979794581936","33283979794581936,","140 x 90","9387","","111"
"24970552142641397","24970552142641397,","100 x 70","6134","","112"
"24970552142641397","24970552142641397,","120 x 80","7997","","112"
"24970552142641397","24970552142641397,","140 x 90","9387","","112"
"32322642580684710","32322642580684710,","70 x 50","4002","","113"
"32322642580684710","32322642580684710,","80 x 60","5257","","113"
"33031752419773120","33031752419773120,","100 x 70","6134","","114"
"33031752419773120","33031752419773120,","120 x 80","7997","","114"
"33031752419773120","33031752419773120,","140 x 90","9387","","114"
"32485445794433419","32485445794433419,","70 x 50","3002","","115"
"32485445794433419","32485445794433419,","80 x 60","3942","","115"
"32485445794433419","32485445794433419,","100 x 70","5507","","115"
"25078916261730007","25078916261730007,","70 x 50","1987","","116"
"25078916261730007","25078916261730007,","80 x 60","2627","","116"
"25078916261730007","25078916261730007,","100 x 70","3672","","116"
"24982484854757214","24982484854757214,","100 x 70","6134","","117"
"24982484854757214","24982484854757214,","120 x 80","7997","","117"
"24982484854757214","24982484854757214,","140 x 90","9387","","117"
"25335395819430369","25335395819430369,","70 x 50","3002","","118"
"25335395819430369","25335395819430369,","80 x 60","3942","","118"
"25335395819430369","25335395819430369,","100 x 70","5507","","118"
"25279508285044531","25279508285044531,","100 x 70","3162","","119"
"25279508285044531","25279508285044531,","120 x 80","3727","","119"
"25279508285044531","25279508285044531,","140 x 90","4609","","119"
"25154050550903496","25154050550903496,","100 x 70","4407","","120"
"25154050550903496","25154050550903496,","120 x 80","5857","","120"
"25154050550903496","25154050550903496,","140 x 90","7509","","120"
"24496150073391847","24496150073391847,","100 x 70","6134","","121"
"24496150073391847","24496150073391847,","120 x 80","7997","","121"
"24496150073391847","24496150073391847,","140 x 90","9387","","121"
"25261650570166321","25261650570166321,","70 x 50","4807","","122"
"25261650570166321","25261650570166321,","80 x 60","6307","","122"
"25261650570166321","25261650570166321,","100 x 70","8812","","122"
"25568099119525535","25568099119525535,","Default","8875","","123"
"25386546194344639","25386546194344639,","100 x 70","6134","","124"
"25386546194344639","25386546194344639,","120 x 80","7997","","124"
"25386546194344639","25386546194344639,","140 x 90","9387","","124"
"24707441718933116","24707441718933116,","70 x 50","1987","","125"
"24707441718933116","24707441718933116,","80 x 60","2627","","125"
"24707441718933116","24707441718933116,","100 x 70","3672","","125"
"25630938556530533","25630938556530533,","70 x 50","1987","","126"
"25630938556530533","25630938556530533,","80 x 60","2627","","126"
"25630938556530533","25630938556530533,","100 x 70","3672","","126"
"33601207239478344","33601207239478344,","100 x 70","4407","","127"
"33601207239478344","33601207239478344,","120 x 80","5857","","127"
"33601207239478344","33601207239478344,","140 x 90","7509","","127"
"33704584309128698","33704584309128698,","100 x 70","6134","","128"
